にぎり,まぐろ(赤身),100
にぎり,漬けまぐろ,100
にぎり,ビントロ,100
にぎり,真だい,100
にぎり,はまち,100
にぎり,真いわし,100
にぎり,サーモン,100
にぎり,オニオンサーモン,100
にぎり,焼きはらす,100
にぎり,とろサーモン,100
にぎり,そでいか,100
にぎり,大葉甲いか,100
にぎり,大葉真いか,100
にぎり,えんがわにぎり,100
にぎり,えび,100
にぎり,甘えび,100
にぎり,えびアボカド,100
にぎり,生えび,100
にぎり,真たこ,100
にぎり一貫,まぐろ中とろ（一貫）,100
にぎり一貫,赤えび（一貫）,100
にぎり一貫,うなぎ（一貫）,100
にぎり一貫,かににぎり(一貫）,100
にぎり一貫,レモンぶり（一貫）,100
にぎり一貫,あじ（一貫）,100
にぎり一貫,まぐろユッケ手巻き寿司（一貫）,100
ぐんかん,ねぎまぐろ,100
ぐんかん,まぐろユッケ,100
ぐんかん,味付いくら,100
ぐんかん,うに,100
ぐんかん,納豆,100
ぐんかん,えびマヨ,100
ぐんかん,サラダ,100
ぐんかん,ツナサラダ,100
ぐんかん,シーフードサラダ,100
ぐんかん,コーン,100
ぐんかん,味玉軍艦,100
ぐんかん,海鮮ねぎ塩軍艦,100
ぐんかん,たらマヨ軍艦,100
ぐんかん,カラフトししゃもっこ軍艦,100
ぐんかん,ほたてうに軍艦,100
ぐんかん,ほたるいか軍艦,100
ぐんかん,ごろっとハム玉軍艦,100
あぶり寿司・細巻き,あぶりサーモンてりマヨ,100
あぶり寿司・細巻き,あぶり豚カルビてりマヨ,100
あぶり寿司・細巻き,あぶりえびチーズ,100
あぶり寿司・細巻き,あぶりチーズサーモン,100
あぶり寿司・細巻き,あぶりチーズ豚カルビ,100
あぶり寿司・細巻き,鉄火巻,100
あぶり寿司・細巻き,きゅうり巻,100
あぶり寿司・細巻き,納豆巻,100
あぶり寿司・細巻き,かんぴょう巻,100
あぶり寿司・細巻き,えび天手巻き寿司（一貫）,100
あぶり寿司・細巻き,いか天手巻き寿司（一貫）,100
あぶり寿司・細巻き,ぷちずし,100
サイドメニュー,魚介醤油らーめん,360
サイドメニュー,特製茶碗蒸し,180
サイドメニュー,あさり入り赤だし,180
サイドメニュー,京風　だし巻きたまご,100
サイドメニュー,もりもりポテト,230
サイドメニュー,天ぷら盛り合わせ,230
サイドメニュー,いか天,100
サイドメニュー,えび天,100
サイドメニュー,オニオンリング,100
サイドメニュー,京わらびもち,100
サイドメニュー,ミルクレープ,200
サイドメニュー,生ビール,450
サイドメニュー,瓶ビール,500
サイドメニュー,冷酒無添蔵,520
サイドメニュー,オレンジジュース,200
